"PROV","AMP","Actual_mean","Pred_mean"
"Kanchanaburi","Lao Khwan",0,0
"Kanchanaburi","Mueang Kanchanaburi",0,0
"Kanchanaburi","Nong Prue",0,0
"Kanchanaburi","Phanom Thuan",0,0
"Kanchanaburi","Sai Yok",0,0
"Kanchanaburi","Sangkhla Buri",0,0.0881685391068458
"Kanchanaburi","Si Sawat",0,0
"Kanchanaburi","Tha Maka",0,0
"Kanchanaburi","Tha Muang",0,0
"Kanchanaburi","Thong Pha Phum",0.0101514855430156,0
"Khon Kaen","Ban Fang",0,0.0178868365897374
"Khon Kaen","Ban Haet",0,0.0177615179934285
"Khon Kaen","Ban Phai",0.0201698381047775,0.0496683638881554
"Khon Kaen","Chonnabot",0,0.0094047604255717
"Khon Kaen","Chum Phae",0,0.0445958099920641
"Khon Kaen","Khao Suan Kwang",0,0.030986212447963
"Khon Kaen","Khok Pho Chai",0.00504245952619436,0.00278585675087842
"Khon Kaen","Kranuan",0.0201698381047775,0.0517023488540541
"Khon Kaen","Mancha Khiri",0,-0.00672903623093262
"Khon Kaen","Mueang Khon Kaen",0.055467054788138,0.0239917672747238
"Khon Kaen","Nam Phong",0.0100849190523887,0.0540764743292873
"Khon Kaen","Non Sila",0.00504245952619436,0.0237133767117154
"Khon Kaen","Nong Na Kham",0.00504245952619436,0.0234656608240171
"Khon Kaen","Nong Ruea",0.00504245952619436,0.018945869227702
"Khon Kaen","Nong Song Hong",0.00504245952619436,0.0375062384727326
"Khon Kaen","Phon",0.0100849190523887,0.0352849482812665
"Khon Kaen","Phra Yuen",0.0201698381047775,0.0414901350370862
"Khon Kaen","Phu Pha Man",0.0100849190523887,0.0317443170669404
"Khon Kaen","Phu Wiang",0,0.046165175058625
"Khon Kaen","Pueai Noi",0,0.0196823335506699
"Khon Kaen","Sam Sung",0.0151273785785831,0.0415334745564244
"Khon Kaen","Si Chomphu",0,0.0156016072036106
"Khon Kaen","Ubolratana",0.0403396762095549,0.0494767828759822
"Khon Kaen","Waeng Noi",0,0.00338005545464429
"Khon Kaen","Waeng Yai",0,0
"Khon Kaen","Wiang Kao",0,0
"Krabi","Ao Luek",0.0953447178740264,0.261135639114813
"Krabi","Khao Phanom",0.190689435748053,0.262198186733506
"Krabi","Khlong Thom",0.152551548598442,0.200623758814552
"Krabi","Ko Lanta",0.0381378871496105,0.24732877720486
"Krabi","Lam Thap",0,0.210723881017078
"Krabi","Mueang Krabi",0.133482605023637,0.315630582245913
"Krabi","Nuea Khlong",0.0381378871496105,0.164845171299848
"Krabi","Plai Phraya",0.0190689435748053,0.283374923196706
"Lampang","Chae Hom",0.0123130327541447,0.0550627274946733
"Lampang","Hang Chat",0,0.033820774067532
"Lampang","Ko Kha",0,0
"Lampang","Mae Mo",0.0123130327541447,0.0192854133519259
"Lampang","Mae Phrik",0,0.0130109719254754
"Lampang","Mae Tha",0.0369390982624341,0.017030732198195
"Lampang","Mueang Lampang",0,0.041052909059958
"Lampang","Mueang Pan",0,0
"Lampang","Ngao",0.0123130327541447,0.0294830826195804
"Lampang","Soem Ngam",0,0
"Lampang","Sop Prap",0.0123130327541447,0
"Lampang","Thoen",0.0492521310165788,0.195993293415416
"Lampang","Wang Nuea",0,0
"Lamphun","Ban Hong",0,0
"Lamphun","Ban Thi",0,0
"Lamphun","Li",0,0
"Lamphun","Mae Tha",0.0224425330887097,0
"Lamphun","Mueang Lamphun",0,0
"Lamphun","Pa Sang",0,0
"Lamphun","Thung Hua Chang",0.0224425330887097,0
"Lamphun","Wiang Nong Long",0,0
"Loei","Chiang Khan",0.0565574871508458,0.242575554685159
"Loei","Dan Sai",0.0565574871508458,0.109030390327627
"Loei","Erawan",0,0.147797646847638
"Loei","Mueang Loei",0.0424181153631344,0.158964151685888
"Loei","Na Duang",0.0282787435754229,0.124863138253039
"Loei","Na Haeo",0.0565574871508458,0.0433968007564545
"Loei","Nong Hin",0.0282787435754229,0.0720668624747884
"Loei","Pak Chom",0.113114974301692,0.0794621787287973
"Loei","Pha Khao",0.0424181153631344,0.105373833667148
"Loei","Phu Kradueng",0.127254346089403,0.0729087533598596
"Loei","Phu Luang",0.0282787435754229,0.070595544847575
"Loei","Phu Ruea",0.0565574871508458,0.0477990779009733
"Loei","Tha Li",0.0282787435754229,0.108720287680626
"Loei","Wang Saphung",0.240369320391095,0.357384326783094
"Lop Buri","Ban Mi",0,0
"Lop Buri","Chai Badan",0,0
"Lop Buri","Khok Charoen",0,0
"Lop Buri","Khok Samrong",0,0
"Lop Buri","Lam Sonthi",0,0
"Lop Buri","Mueang Lop Buri",0,0
"Lop Buri","Nong Muang",0,0
"Lop Buri","Phatthana Nikhom",0,0.0119195892052217
"Lop Buri","Sa Bot",0,0
"Lop Buri","Tha Luang",0,0
"Lop Buri","Tha Wung",0,0
"Mae Hong Son","Khun Yuam",0,0.0896905416792089
"Mae Hong Son","Mae La Noi",0,0
"Mae Hong Son","Mae Sariang",0.159973482795492,0.065264569087462
"Mae Hong Son","Mueang Mae Hong Son",0.0959840896772951,0.350359098477797
"Mae Hong Son","Pai",0,0.0995946065946059
"Mae Hong Son","Pang Mapha",0,0.326744372194464
"Mae Hong Son","Sop Moei",0.0319946965590984,0
"Maha Sarakham","Borabue",0.0188869629433065,0.154844421554696
"Maha Sarakham","Chiang Yuen",0.0188869629433065,0.060456785288724
"Maha Sarakham","Chuen Chom",0,0.0530210909518328
"Maha Sarakham","Kae Dam",0.0188869629433065,0.0785086635838856
"Maha Sarakham","Kantharawichai",0.00944348147165327,0.0832655876874924
"Maha Sarakham","Kosum Phisai",0.0661043703015729,0.122453357685696
"Maha Sarakham","Kut Rang",0.00944348147165327,0.0939330126751551
"Maha Sarakham","Mueang Maha Sarakham",0.0188869629433065,0.144875241951509
"Maha Sarakham","Na Chueak",0.00944348147165327,0.0879067223180424
"Maha Sarakham","Na Dun",0,0.0361677509817211
"Maha Sarakham","Phayakkhaphum Phisai",0.00944348147165327,0.0960657488216052
"Maha Sarakham","Wapi Pathum",0.0755478517732262,0.13474543121728
"Mukdahan","Don Tan",0.102962382178859,0.0721797401254828
"Mukdahan","Dong Luang",0.0257405955447147,0.0513624305074864
"Mukdahan","Mueang Mukdahan",0.0772217866341442,0.148872082883661
"Mukdahan","Nikhom Kham Soi",0,0
"Mukdahan","Nong Sung",0.0257405955447147,0.101325639269569
"Mukdahan","Wan Yai",0,0
"Nakhon Nayok","Ban Na",0,0
"Nakhon Nayok","Mueang Nakhon Nayok",0,0
"Nakhon Nayok","Ongkharak",0,0
"Nakhon Nayok","Pak Phli",0.034864330686782,0.209737420082093
"Nakhon Pathom","Bang Len",0,0
"Nakhon Pathom","Don Tum",0,0
"Nakhon Pathom","Kamphaeng Saen",0,0
"Nakhon Pathom","Mueang Nakhon Pathom",0,0
"Nakhon Pathom","Nakhon Chai Si",0,0
"Nakhon Pathom","Phutthamonthon",0,0
"Nakhon Pathom","Sam Phran",0,0
"Nakhon Phanom","Ban Phaeng",0,0.0413463508540934
"Nakhon Phanom","Mueang Nakhon Phanom",0.0126414323450767,0.111848617141897
"Nakhon Phanom","Na Kae",0,0.0881523842161353
"Nakhon Phanom","Na Thom",0,0.0105379101904955
"Nakhon Phanom","Na Wa",0.0126414323450767,0
"Nakhon Phanom","Phon Sawan",0,0.0493943400003694
"Nakhon Phanom","Pla Pak",0,0
"Nakhon Phanom","Renu Nakhon",0,0.0786792798475786
"Nakhon Phanom","Si Songkhram",0,0.0822757089679892
"Nakhon Phanom","Tha Uthen",0.0126414323450767,0.0465458878739314
"Nakhon Phanom","That Phanom",0.0126414323450767,0.0689820217137987
"Nakhon Phanom","Wang Yang",0,0
"Nakhon Ratchasima","Ban Lueam",0,0
"Nakhon Ratchasima","Bua Lai",0,0
"Nakhon Ratchasima","Bua Yai",0,0.0198961723257195
"Nakhon Ratchasima","Chakkarat",0.00343192133679376,0.00600551678375764
"Nakhon Ratchasima","Chaloem Phra Kiat",0.00343192133679376,0
"Nakhon Ratchasima","Chok Chai",0.00686384267358753,0.0303135758096522
"Nakhon Ratchasima","Chum Phuang",0.00686384267358753,0
"Nakhon Ratchasima","Dan Khun Thot",0.0308872920311439,0.0348498299717903
"Nakhon Ratchasima","Huai Thalaeng",0.00343192133679376,0
"Nakhon Ratchasima","Kaeng Sanam Nang",0,0.030030834403905
"Nakhon Ratchasima","Kham Sakaesaeng",0,0
"Nakhon Ratchasima","Kham Thale So",0,0.0243137011473829
"Nakhon Ratchasima","Khon Buri",0.00343192133679376,0.0678175515071912
"Nakhon Ratchasima","Khong",0.00343192133679376,0.0181586247953502
"Nakhon Ratchasima","Lam Thamenchai",0.00686384267358753,0
"Nakhon Ratchasima","Mueang Nakhon Ratchasima",0.00343192133679376,0.0239038938148455
"Nakhon Ratchasima","Mueang Yang",0,0.0154563215645877
"Nakhon Ratchasima","Non Daeng",0,0
"Nakhon Ratchasima","Non Sung",0.00686384267358753,0.0322945104403929
"Nakhon Ratchasima","Non Thai",0,0
"Nakhon Ratchasima","Pak Chong",0.00686384267358753,0.0410919314758344
"Nakhon Ratchasima","Pak Thong Chai",0.00343192133679376,0.0297242597761479
"Nakhon Ratchasima","Phimai",0.0102957640103813,0.0197867856106975
"Nakhon Ratchasima","Phra Thong Kham",0,0
"Nakhon Ratchasima","Prathai",0.0102957640103813,0.0265227765352888
"Nakhon Ratchasima","Sida",0,0.00854203071106564
"Nakhon Ratchasima","Sikhio",0.00686384267358753,0.0274650065059011
"Nakhon Ratchasima","Soeng Sang",0.00343192133679376,0.0391712877899408
"Nakhon Ratchasima","Sung Noen",0.0102957640103813,0.0265295464884151
"Nakhon Ratchasima","Thepharak",0.00686384267358753,0.0159101912921126
"Nakhon Ratchasima","Wang Nam Khiao",0,0.0404607233676043
"Nakhon Sawan","Banphot Phisai",0,0.0300000553781336
"Nakhon Sawan","Chum Saeng",0.00857724369759144,0
"Nakhon Sawan","Chum Ta Bong",0.00857724369759144,0.0168892497366125
"Nakhon Sawan","Kao Liao",0,0
"Nakhon Sawan","Krok Phra",0,0
"Nakhon Sawan","Lat Yao",0,0
"Nakhon Sawan","Mae Poen",0,0.0152323279868473
"Nakhon Sawan","Mae Wong",0.00857724369759144,0.0167497674172575
"Nakhon Sawan","Mueang Nakhon Sawan",0,0
"Nakhon Sawan","Nong Bua",0,0
"Nakhon Sawan","Phaisali",0.00857724369759144,0
"Nakhon Sawan","Phayuha Khiri",0.00857724369759144,0
"Nakhon Sawan","Tak Fa",0,0
"Nakhon Sawan","Takhli",0,0
"Nakhon Sawan","Tha Tako",0,0
"Nakhon Si Thammarat","Bang Khan",0.0407422137118851,0.145733202045614
"Nakhon Si Thammarat","Chaloem Phra Kiat",0.01164063248911,0.0778516124595295
"Nakhon Si Thammarat","Chang Klang",0,0.155691671439193
"Nakhon Si Thammarat","Chawang",0.01164063248911,0.219664297997951
"Nakhon Si Thammarat","Chian Yai",0.02328126497822,0.10822231457992
"Nakhon Si Thammarat","Chulabhorn",0.017460948733665,0.102852429855954
"Nakhon Si Thammarat","Hua Sai",0.00582031624455502,0.0621558758006854
"Nakhon Si Thammarat","Khanom",0,0.213502491062338
"Nakhon Si Thammarat","Lan Saka",0.01164063248911,0.101022213358771
"Nakhon Si Thammarat","Mueang Nakhon Si Thammarat",0.256093914760421,0.350704124028032
"Nakhon Si Thammarat","Na Bon",0,0.155463899401101
"Nakhon Si Thammarat","Nopphitam",0,0.048606410283934
"Nakhon Si Thammarat","Pak Phanang",0.0291015812227751,0.0650386654517867
"Nakhon Si Thammarat","Phipun",0.0407422137118851,0.116089039228179
"Nakhon Si Thammarat","Phra Phrom",0.0349218974673301,0.14968368885192
"Nakhon Si Thammarat","Phrom Khiri",0.0174609487336651,0.107393141158602
"Nakhon Si Thammarat","Ron Phibun",0.017460948733665,0.133132231167772
"Nakhon Si Thammarat","Sichon",0,0.131859006529505
"Nakhon Si Thammarat","Tha Sala",0.00582031624455502,0.117925823412158
"Nakhon Si Thammarat","Tham Phannara",0.01164063248911,0.203557221726938
"Nakhon Si Thammarat","Thung Song",0.0582031624455503,0.193998073989695
"Nakhon Si Thammarat","Thung Yai",0.0291015812227751,0.170426393097097
"Nan","Ban Luang",0,0
"Nan","Bo Kluea",0,0.0152710527181625
"Nan","Chaloem Phra Kiat",0,0.0115502761168914
"Nan","Chiang Klang",0.0950480534443799,0.139308787205002
"Nan","Mae Charim",0,0.163221584124999
"Nan","Mueang Nan",0.0570288320666279,0.142543765631589
"Nan","Na Muen",0,0.126864705573429
"Nan","Na Noi",0.09504805344438,0.11713197556409
"Nan","Phu Phiang",0.019009610688876,0.0896970900622282
"Nan","Pua",0.0570288320666279,0.152217435565862
"Nan","Santi Suk",0.0760384427555039,0.124208496375517
"Nan","Song Khwae",0.019009610688876,0.0435007051988082
"Nan","Tha Wang Pha",0.057028832066628,0.0877249498258937
"Nan","Thung Chang",0.0570288320666279,0.0284351381388577
"Nan","Wiang Sa",0,0.0989534976807507
"Narathiwat","Bacho",0.0225016932524173,0.124928188594905
"Narathiwat","Chanae",0,0
"Narathiwat","Mueang Narathiwat",0,0
"Narathiwat","Rueso",0.0450033865048345,0.0949043021960692
"Narathiwat","Si Sakhon",0.0225016932524173,0
"Narathiwat","Sukhirin",0.0675050797572518,0
"Narathiwat","Tak Bai",0.0450033865048345,0.0441484722224148
"Narathiwat","Waeng",0.0562542331310432,0.15667729892514
"Nong Bua Lam Phu","Mueang Nong Bua Lam Phu",0.0177286732924628,0.0838670771230351
"Nong Bua Lam Phu","Na Klang",0.0354573465849256,0.0986779467626052
"Nong Bua Lam Phu","Na Wang",0.0531860198773884,0.0600534528493881
"Nong Bua Lam Phu","Non Sang",0.0531860198773884,0.0914557941935279
"Nong Bua Lam Phu","Si Bun Rueang",0.0354573465849256,0.10396027023142
"Nong Bua Lam Phu","Suwannakhuha",0.0177286732924628,0.131102946671573
"Nong Khai","Fao Rai",0,0
"Nong Khai","Mueang Nong Khai",0,0.0733013220808723
"Nong Khai","Pho Tak",0,0.0211389566009695
"Nong Khai","Phon Phisai",0,0
"Nong Khai","Rattanawapi",0,0.0491208677942103
"Nong Khai","Sakhrai",0,0.0485249703580683
"Nong Khai","Sangkhom",0.0174051649130673,0
"Nong Khai","Si Chiang Mai",0,0.0615260722962294
"Nong Khai","Tha Bo",0,0.0419234132224864
"Nonthaburi","Bang Kruai",0,0
"Nonthaburi","Bang Yai",0,0
"Nonthaburi","Mueang Nonthaburi",0.00718429151785904,0
"Nonthaburi","Pak Kret",0.00718429151785904,0
"Nonthaburi","Sai Noi",0,0
"Pathum Thani","Khlong Luang",0.023438151873599,0
"Pathum Thani","Lam Luk Ka",0,0
"Pathum Thani","Lat Lum Kaeo",0,0
"Pathum Thani","Mueang Pathum Thani",0.00781271729119966,0
"Pathum Thani","Nong Suea",0,0
"Pathum Thani","Sam Khok",0,0
"Pathum Thani","Thanyaburi",0,0
"Pattani","Kapho",0,0
"Pattani","Khok Pho",0.0125373864865027,0.226102112369104
"Pattani","Mae Lan",0,0
"Pattani","Mai Kaen",0,0
"Pattani","Mayo",0,0.154691052707759
"Pattani","Mueang Pattani",0.0125373864865027,0.012508821758357
"Pattani","Nong Chik",0,0.0730968801812691
"Pattani","Panare",0.0125373864865027,0.147227636115118
"Pattani","Sai Buri",0,0.0820404717868024
"Pattani","Thung Yang Daeng",0,0.146829182451422
"Pattani","Yarang",0.0125373864865027,0.151244308460843
"Pattani","Yaring",0.0125373864865027,0.0395365838300098
"Phangnga","Kapong",0.101465568673926,0.25053053281524
"Phangnga","Khura Buri",1.48816167388425,0.813327835364775
"Phangnga","Ko Yao",0,0.146743194623427
"Phangnga","Takua Pa",0.405862274695705,0.587052551182834
"Phangnga","Takua Thung",0.0338218562246421,0.405898416584188
"Phangnga","Thai Mueang",0.0676437124492842,0.460539243438027
